company_name,holder_count,is_shared,held_by_bdcs,industry_sector,business_description,total_positions,fair_value_millions,principal_millions,cost_millions,total_fair_value,total_principal,total_cost,has_business_desc,industry_classified
"CenterPeak Holdings, LLC",1,False,Main Street Capital Corporation,Other,Executive Search Services,4,72.11,21.51,50.08,72114000.0,21507000.0,50082000.0,True,False
KM2 Solutions LLC,1,False,Prospect Capital Corporation,Unknown,,4,70.98,35.57,71.15,70980000.0,35574000.0,71148000.0,False,False
"Sapphire Software Buyer, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of application security testing solutions,1,70.8,71.6,71.6,70800000.0,71600000.0,71600000.0,True,True
"Schill Landscaping and Lawn Care Services LLC, Tender Lawn Care ULC and Landscape Parallel Partners, L.P. (15)",1,False,Ares Capital Corporation,Other,"Provider of landscape design and planning, and snow removal services",4,70.8,4.0,51.0,70800000.0,4000000.0,51000000.0,True,False
"Upstream Newco, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,70.5,44.0,87.7,70502000.0,44000000.0,87702000.0,False,False
Titan Meter Midco Corp.,1,False,Main Street Capital Corporation,Energy & Utilities,Value Added Distributor of a Variety of Metering and Measurement Products and Solutions to the Energy Industry,4,70.44,33.93,68.1,70444000.0,33927000.0,68102000.0,True,True
"Mystic Logistics Holdings, LLC",1,False,Main Street Capital Corporation,Retail,Logistics and Distribution Services Provider for Large Volume Mailers,4,70.02,11.49,22.66,70018000.0,11492000.0,22663000.0,True,True
Apidos CLO XXII,1,False,Prospect Capital Corporation,Unknown,,4,69.32,71.71,85.75,69320000.0,71710000.0,85746000.0,False,False
Affordable Care Inc,1,False,FS KKR Capital Corp,Unknown,,5,69.1,67.9,69.7,69100000.0,67900000.0,69700000.0,False,False
Energy,1,False,New Mountain Finance Corporation,Unknown,,9,69.02,27811.65,90.58,69016000.0,27811651000.0,90582000.0,False,False
"Metalforming Holdings, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Distributor of Sheet Metal Folding and Metal Forming Equipment,5,68.16,20.96,56.57,68160000.0,20961000.0,56572000.0,True,True
"New WPCC Parent, LLC",1,False,Prospect Capital Corporation,Unknown,,4,67.94,0.0,38.61,67943000.0,0.0,38612000.0,False,False
"Kickhaefer Manufacturing Company, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Precision Metal Parts Manufacturing,5,67.73,18.96,64.29,67726000.0,18958000.0,64290000.0,True,True
"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)",1,False,Ares Capital Corporation,Healthcare Services,Dental services provider,3,67.3,55.8,72.0,67300000.0,55800000.0,72000000.0,True,True
"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc.",1,False,Ares Capital Corporation,Industrial/Manufacturing,"Manufacturer of biologic, metal and synthetic implants/devices",3,67.2,33.6,67.2,67200000.0,33600000.0,67200000.0,True,True
"Batjer TopCo, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,HVAC Mechanical Contractor,10,66.8,22.14,60.41,66800000.0,22140000.0,60414000.0,True,True
"GS HVAM Intermediate, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Specialized Food Distributor,12,65.91,32.96,65.66,65910000.0,32964000.0,65658000.0,True,True
Apidos CLO XV,1,False,Prospect Capital Corporation,Unknown,,4,65.62,97.03,74.74,65622000.0,97030000.0,74744000.0,False,False
"Global Lending Services LLC, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,4,65.4,61017083.0,61.2,65400000.0,61017083000000.0,61200000.0,False,False
"Slick Innovations, LLC",1,False,Main Street Capital Corporation,Software/Technology,Text Message Marketing Platform,6,65.02,27.76,55.96,65020000.0,27760000.0,55964000.0,True,True
Food & Beverage,1,False,New Mountain Finance Corporation,Unknown,,2,64.5,66.23,59.21,64505000.0,66230000.0,59210000.0,False,False
Apidos CLO XI,1,False,Prospect Capital Corporation,Unknown,,2,64.47,67.78,77.65,64470000.0,67783000.0,77650000.0,False,False
GradeEight Corp.,1,False,Main Street Capital Corporation,Industrial/Manufacturing,Distributor of Maintenance and Repair Parts,5,64.45,31.6,64.45,64448000.0,31603000.0,64448000.0,True,True
"My Community Homes PropCo 2, Term Loan",1,False,FS KKR Capital Corp,Unknown,,1,64.4,0.0,64.4,64400000.00000001,0.0,64400000.00000001,False,False
Echelon Transportation LLC,1,False,Prospect Capital Corporation,Unknown,,1,64.2,0.0,0.0,64198000.0,0.0,0.0,False,False
Lazer Logistics Inc,1,False,FS KKR Capital Corp,Unknown,,7,64.0,63.7,63.4,64000000.0,63700000.0,63400000.0,False,False
Aero Operating LLC,1,False,Ares Capital Corporation,Other,Provider of snow removal and melting service for airports and marine terminals,3,63.6,37.3,74.6,63600000.0,37300000.0,74600000.0,True,False
"Vehicle Secured Funding Trust, Term Loan",1,False,FS KKR Capital Corp,Unknown,,1,63.3,0.0,63.3,63300000.0,0.0,63300000.0,False,False
Superior Rigging & Erecting Co.,1,False,Main Street Capital Corporation,Other,"Provider of Steel Erecting, Crane Rental & Rigging Services",4,63.26,20.5,54.35,63264000.0,20500000.0,54354000.0,True,False
"New Permian Holdco, Inc. / New Permian Holdco, L.L.C.",1,False,New Mountain Finance Corporation,Unknown,,1,63.17,0.0,0.0,63170000.0,0.0,0.0,False,False
"Corient Holdings, Inc.",1,False,Ares Capital Corporation,Financial Services,Global wealth management firm,1,63.1,0.0,41.4,63100000.0,0.0,41400000.0,True,True
Belk Inc,1,False,FS KKR Capital Corp,Unknown,,4,62.7,153.4,91.0,62700000.0,153400000.0,91000000.0,False,False
Veriforce LLC,1,False,FS KKR Capital Corp,Unknown,,4,62.2,40.8,62.3,62200000.0,40800000.0,62300000.0,False,False
"8th Avenue Food & Provisions, Inc.",1,False,Prospect Capital Corporation,Unknown,,2,62.1,0.0,64.13,62098000.0,0.0,64127000.0,False,False
BP Loenbro Holdings Inc.,1,False,Main Street Capital Corporation,Industrial/Manufacturing,Specialty Industrial Maintenance Services,5,61.94,27.37,58.41,61940000.0,27372000.0,58408000.0,True,True
"Microbe Formulas, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Nutritional Supplements Provider,4,61.85,30.96,61.1,61848000.0,30963000.0,61104000.0,True,True
AMEREQUIP LLC,1,False,Main Street Capital Corporation,Industrial/Manufacturing,"Full Services Provider Including Design, Engineering and Manufacturing of Commercial and Agricultural Equipment",5,61.44,28.42,61.35,61438000.0,28422000.0,61352000.0,True,True
"Pathstone Family Office LLC and Kelso XI Tailwind Co-Investment, L.P. (15)",1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services and registered investment advisor,6,61.4,28.2,60.4,61400000.0,28200000.0,60400000.0,True,True
"Freedom Marine Solutions, LLC",1,False,Prospect Capital Corporation,Unknown,,5,61.33,0.0,186.52,61332000.0,0.0,186518000.0,False,False
Apex Group Limited,1,False,FS KKR Capital Corp,Unknown,,4,61.1,59.9,61.2,61100000.0,59900000.0,61200000.0,False,False
"LL Management, Inc.",1,False,Main Street Capital Corporation,Healthcare Services,Medical Transportation Service Provider,7,61.08,30.54,60.64,61076000.0,30538000.0,60644000.0,True,True
"AI Titan Parent, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of plant maintenance / scheduling software,1,60.9,61.5,61.5,60900000.0,61500000.0,61500000.0,True,True
"Prime ST LLC, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,2,60.7,0.0,118.2,60700000.0,0.0,118200000.0,False,False
Corsearch Intermediate Inc,1,False,FS KKR Capital Corp,Unknown,,2,60.0,30.1,57.7,60000000.0,30100000.0,57700000.0,False,False
"Watterson Brands, LLC",1,False,Main Street Capital Corporation,Other,Facility Management Services,5,59.84,31.7,62.98,59836000.0,31703000.0,62980000.0,True,False
"Extrahop Networks, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of real-time wire data analytics solutions for application and infrastructure monitoring,3,59.8,29.9,59.8,59800000.0,29900000.0,59800000.0,True,True
Shaw Development LLC,1,False,FS KKR Capital Corp,Unknown,,3,59.8,60.7,60.2,59800000.0,60700000.0,60200000.0,False,False
"CIFC Funding 2016-I, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,59.71,34.0,63.67,59708000.0,34000000.0,63674000.0,False,False
"PayPal Europe Sarl et Cie SCA, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,59.6,55605051.0,59.8,59600000.0,55605051000000.0,59800000.0,False,False
Netsmart Technologies Inc,1,False,FS KKR Capital Corp,Unknown,,3,59.3,59.3,59.1,59300000.0,59300000.0,59100000.0,False,False
"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,Ares Capital Corporation,Software/Technology,Provider of intellectual property management lifecycle software,5,59.0,16.6,43.0,59000000.0,16600000.0,43000000.0,True,True
"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Provider of environmental, health and safety software to track compliance data",8,59.0,28.5,57.4,59000000.0,28500000.0,57400000.0,True,True
"801 5th Ave, Seattle, Structure Mezzanine",1,False,FS KKR Capital Corp,Unknown,,1,58.9,0.0,0.0,58900000.0,0.0,0.0,False,False
"TPS, LLC",1,False,Prospect Capital Corporation,Unknown,,3,58.74,18.66,58.74,58740000.0,18663000.0,58740000.0,False,False
"ISQ Hawkeye Holdco, Inc. and ISQ Hawkeye Holdings, L.P.",1,False,Ares Capital Corporation,Industrial/Manufacturing,Provider of commercial and industrial waste processing and disposal services,5,58.6,9.5,44.0,58600000.0,9500000.0,44000000.0,True,True
New Era Technology Inc,1,False,FS KKR Capital Corp,Unknown,,4,58.5,59.5,58.3,58500000.0,59500000.0,58300000.0,False,False
"KBK Industries, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Manufacturer of Specialty Oilfield and Industrial Products,3,57.76,3.7,8.92,57760000.0,3700000.0,8918000.0,True,True
Moonraker AcquisitionCo LLC and Moonraker HoldCo LLC,1,False,Ares Capital Corporation,Software/Technology,Leading technology solution provider for casing and auditioning to the entertainment industry,4,57.6,25.0,60.6,57600000.0,25000000.0,60600000.0,True,True
"Surescripts, LLC",1,False,Ares Capital Corporation,Healthcare Services,"Healthcare network for e-prescription routing, patient eligibility checks, and secure exchange of medical records",1,57.5,58.0,58.0,57500000.0,58000000.0,58000000.0,True,True
"CIFC Funding 2014-IV-R, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,57.34,50.14,72.63,57336000.0,50143000.0,72626000.0,False,False
"Preventics, Inc. (d/b/a Legere Pharmaceuticals)",1,False,Prospect Capital Corporation,Unknown,,9,57.03,19.6,46.5,57034000.0,19595000.0,46504000.0,False,False
"Adams Publishing Group, LLC",1,False,Main Street Capital Corporation,Other,Local Newspaper Operator,3,56.94,29.05,58.02,56936000.0,29048000.0,58018000.0,True,False
"Sundance Group Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based document management and collaboration solutions,3,56.4,28.2,56.0,56400000.0,28200000.0,56000000.0,True,True
BDO USA PA,1,False,FS KKR Capital Corp,Unknown,,2,56.2,56.5,55.4,56200000.0,56500000.0,55400000.0,False,False
Warren Resources Inc,1,False,FS KKR Capital Corp,Unknown,,3,56.2,18.8,18.5,56200000.0,18800000.0,18500000.0,False,False
Packaging,1,False,New Mountain Finance Corporation,Unknown,,17,56.11,29.22,55.42,56109000.0,29216000.0,55425000.0,False,False
California Street CLO IX Ltd.,1,False,Prospect Capital Corporation,Unknown,,2,55.99,58.92,72.96,55994000.0,58915000.0,72964000.0,False,False
"Valcourt Holdings II, LLC and Jobs Holdings, Inc.",1,False,Ares Capital Corporation,Energy & Utilities,Provider of window cleaning and building facade maintenance and restoration services,1,55.9,55.9,55.9,55900000.0,55900000.0,55900000.0,True,True
Colonial Electric Company LLC,1,False,Main Street Capital Corporation,Industrial/Manufacturing,Provider of Electrical Contracting Services,3,55.76,14.31,43.9,55760000.0,14310000.0,43904000.0,True,True
USES Corp.,1,False,Prospect Capital Corporation,Unknown,,6,55.5,208.34,162.42,55505000.0,208341000.0,162421000.0,False,False
"C5 Technology Holdings, LLC",1,False,Oaktree Specialty Lending Corporation,Unknown,,2,55.28,0.0,0.0,55276000.0,0.0,0.0,False,False
"Bettercloud, Inc.",1,False,Main Street Capital Corporation,Software/Technology,SaaS Provider of Workflow Management and Business Application Solutions,3,54.98,29.4,57.89,54976000.0,29403000.0,57888000.0,True,True
One Call Care Management Inc,1,False,FS KKR Capital Corp,Unknown,,5,54.3,37.5,35.7,54300000.0,37500000.0,35700000.0,False,False
"Crown CT Parent Inc., Crown CT HoldCo Inc. and Crown CT Management LLC",1,False,Ares Capital Corporation,Healthcare Services,Provider of medical devices and services for the treatment of positional plagiocephaly,5,53.8,24.1,52.6,53800000.0,24100000.0,52600000.0,True,True
"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP",1,False,Ares Capital Corporation,Other,Provider of asset-servicing capabilities for fund managers,4,53.6,20.7,46.4,53600000.0,20700000.0,46400000.0,True,False
"Principle Environmental, LLC",1,False,Main Street Capital Corporation,Other,Noise Abatement Service Provider,6,52.7,10.79,35.08,52701000.0,10794000.0,35078000.0,True,False
Lloyd's Register Quality Assurance Ltd,1,False,FS KKR Capital Corp,Unknown,,5,51.7,15.1,52.7,51700000.0,15100000.0,52700000.0,False,False
Safe-Guard Products International LLC,1,False,FS KKR Capital Corp,Unknown,,3,51.4,51.1,50.8,51400000.0,51100000.0,50800000.0,False,False
"Beacon Pointe Harmony, LLC",1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services,5,51.2,25.6,51.2,51200000.0,25600000.0,51200000.0,True,True
"QF Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,SaaS based electronic health record software provider,7,50.8,25.4,50.8,50800000.0,25400000.0,50800000.0,True,True
Columbia Cent CLO 27 Limited,1,False,Prospect Capital Corporation,Unknown,,2,50.79,48.98,61.74,50794000.0,48978000.0,61744000.0,False,False
Apidos CLO XII,1,False,Prospect Capital Corporation,Unknown,,2,50.62,52.2,58.16,50624000.0,52203000.0,58162000.0,False,False
"Elevation Services Parent Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Elevator service platform,4,50.2,26.2,52.4,50200000.0,26200000.0,52400000.0,True,True
"Career Team Holdings, LLC",1,False,Main Street Capital Corporation,Education,Provider of Workforce Training and Career Development Services,4,49.98,20.34,49.5,49982000.0,20340000.0,49502000.0,True,True
"AVEX Aviation Holdings, LLC",1,False,Main Street Capital Corporation,Retail,Specialty Aircraft Dealer & MRO Provider,4,49.87,24.6,49.32,49868000.0,24602000.0,49322000.0,True,True
"Acumera, Inc.",1,False,Main Street Capital Corporation,Other,Managed Security Service Provider,4,49.81,24.8,49.05,49808000.0,24796000.0,49048000.0,True,False
"Victor Technology, LLC",1,False,Prospect Capital Corporation,Unknown,,4,49.59,25.2,50.4,49594000.0,25200000.0,50400000.0,False,False
"Compass Systems & Sales, LLC",1,False,Main Street Capital Corporation,Other,Designer of End-to-End Material Handling Solutions,5,49.49,17.2,49.5,49492000.0,17200000.0,49500000.0,True,False
"Majesco and Magic Topco, L.P.",1,False,Ares Capital Corporation,Software/Technology,Insurance software provider,3,49.0,18.0,43.4,49000000.0,18000000.0,43400000.0,True,True
"Rialto Management Group, LLC",1,False,Ares Capital Corporation,Software/Technology,Investment and asset management platform focused on real estate,2,49.0,24.8,49.6,49000000.0,24800000.0,49600000.0,True,True
Advanced Dermatology & Cosmetic Surgery,1,False,FS KKR Capital Corp,Unknown,,3,48.7,49.5,48.1,48700000.0,49500000.0,48100000.0,False,False
"Paragon 28, Inc. and Paragon Advanced Technologies, Inc.",1,False,Ares Capital Corporation,Healthcare Services,Medical device company,3,48.2,24.1,48.2,48200000.0,24100000.0,48200000.0,True,True
"Raisin Acquisition Co, Inc.",1,False,Prospect Capital Corporation,Unknown,,3,48.05,24.03,47.19,48052000.0,24026000.0,47186000.0,False,False
"Carlyle Global Market Strategies CLO 2016-3, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,48.02,32.2,60.91,48018000.0,32200000.0,60912000.0,False,False
"CIFC Funding 2013-IV, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,47.84,45.5,55.06,47842000.0,45500000.0,55056000.0,False,False
"Jet Edge International LLC, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,2,47.6,0.0,46.7,47600000.0,0.0,46700000.0,False,False
"ArborWorks, LLC",1,False,Main Street Capital Corporation,Other,Vegetation Management Services,6,47.11,11.96,50.6,47113000.0,11958000.0,50597000.0,True,False
"Covis Finco Sarl, Revolver",1,False,FS KKR Capital Corp,Unknown,,12,46.8,0.0,46.5,46800000.0,0.0,46500000.0,False,False
"Symphony CLO XV, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,46.74,63.83,54.3,46742000.0,63831000.0,54302000.0,False,False
HEADLANDS OP-CO LLC,1,False,Main Street Capital Corporation,Healthcare Services,Clinical Trial Sites Operator,4,46.61,23.36,45.92,46614000.0,23355000.0,45916000.0,True,True
"United Sporting Companies, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,46.37,377.57,352.32,46372000.0,377568000.0,352324000.0,False,False
"West Star Aviation Acquisition, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,"Aircraft, Aircraft Engine and Engine Parts",5,46.2,18.18,38.97,46202000.0,18181000.0,38966000.0,True,True
"Global Lending Services LLC, Private Equity",1,False,FS KKR Capital Corp,Unknown,,3,45.9,43883829.0,44.5,45900000.0,43883829000000.0,44500000.0,False,False
"PlayPower, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,45.42,22.95,45.31,45422000.0,22954000.0,45306000.0,False,False
Bowery Farming Inc,1,False,FS KKR Capital Corp,Unknown,,4,45.4,21.8,136.5,45400000.0,21800000.0,136500000.0,False,False
Drogon Bidco Inc. & Drogon Aggregator LP,1,False,Ares Capital Corporation,Other,Provider of fire safety and life safety services,3,45.0,19.8,43.4,45000000.0,19800000.0,43400000.0,True,False
SitusAMC Holdings Corp,1,False,FS KKR Capital Corp,Unknown,,2,44.3,44.1,43.9,44300000.0,44100000.0,43900000.0,False,False
Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC,1,False,Ares Capital Corporation,Transportation & Logistics,Provider of outsourced crew accommodations and logistics management solutions to the airline industry,1,44.3,0.0,4.3,44300000.0,0.0,4300000.0,True,True
"CQ Fluency, LLC",1,False,Main Street Capital Corporation,Other,Global Language Services Provider,8,42.9,22.08,42.59,42896000.0,22078000.0,42588000.0,True,False
Cubic Corp,1,False,FS KKR Capital Corp,Unknown,,1,42.8,44.8,42.4,42800000.0,44800000.0,42400000.0,False,False
"Charps, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Pipeline Maintenance and Construction,3,42.55,5.69,14.26,42548000.0,5694000.0,14258000.0,True,True
Ardonagh Group Ltd,1,False,FS KKR Capital Corp,Unknown,,5,42.5,10.9,40.6,42500000.0,10900000.0,40600000.0,False,False
"Tedder Industries, LLC",1,False,Main Street Capital Corporation,Consumer Products,Manufacturer of Firearm Holsters and Accessories,12,42.47,34.08,109.69,42474000.0,34080000.0,109692000.0,True,True
"Runway Bidco, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of workload automation software,1,42.4,42.8,42.4,42400000.0,42800000.0,42400000.0,True,True
"XIFIN, Inc. and ACP Charger Co-Invest LLC",1,False,Ares Capital Corporation,Hospitality,Revenue cycle management provider to labs,5,42.3,42.8,45.3,42300000.0,42800000.0,45300000.0,True,True
DOC Generici Srl,1,False,FS KKR Capital Corp,Unknown,,4,42.2,4.8,38.6,42200000.0,4800000.0,38600000.0,False,False
"Galaxy XV CLO, Ltd.",1,False,Prospect Capital Corporation,Unknown,,4,41.99,101.05,46.09,41988000.0,101050000.0,46092000.0,False,False
Caldic BV,1,False,FS KKR Capital Corp,Unknown,,3,41.9,41.4,41.4,41900000.0,41400000.0,41400000.0,False,False
"Brewer Crane Holdings, LLC",1,False,Main Street Capital Corporation,Other,Provider of Crane Rental and Operating Services,6,41.63,10.51,38.15,41628000.0,10514000.0,38148000.0,True,False
Circana Group (f.k.a. NPD Group),1,False,FS KKR Capital Corp,Unknown,,6,41.5,40.7,41.1,41500000.0,40700000.0,41100000.0,False,False
"The Hiller Companies, LLC",1,False,Ares Capital Corporation,Other,Provider of fire protection and life safety products,1,41.5,41.5,41.5,41500000.0,41500000.0,41500000.0,True,False
"Research Now Group, LLC and Dynata, LLC",1,False,Prospect Capital Corporation,Unknown,,8,41.17,70.56,143.69,41172000.0,70559000.0,143694000.0,False,False
"Opendoor Labs Inc, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,1,40.9,0.0,42.6,40900000.0,0.0,42600000.0,False,False
"Edmunds Govtech, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of ERP software solutions for local governments,3,40.4,20.2,40.4,40400000.0,20200000.0,40400000.0,True,True
Dental365 LLC,1,False,FS KKR Capital Corp,Unknown,,5,40.3,40.3,40.3,40300000.0,40300000.0,40300000.0,False,False
LBC Woodlands Purchaser LLC and LBC Woodlands Holdings LP,1,False,Ares Capital Corporation,Business Services,Provider of human resources and workforce management solutions,3,39.8,19.1,40.6,39800000.0,19100000.0,40600000.0,True,True
"Clad-Rex Steel, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Specialty Manufacturer of Vinyl-Clad Metal,5,39.35,7.73,30.96,39346000.0,7733000.0,30956000.0,True,True
"Dominion Diagnostics, LLC",1,False,Oaktree Specialty Lending Corporation,Unknown,,9,39.32,25.32,0.0,39321000.0,25320000.0,0.0,False,False
Model N Inc,1,False,FS KKR Capital Corp,Unknown,,3,39.1,39.1,38.9,39100000.0,39100000.0,38900000.0,False,False
Internet Truckstop Group LLC,1,False,Ares Capital Corporation,Software/Technology,Provider of freight-moving lifecycle software,1,39.1,39.5,39.1,39100000.0,39500000.0,39100000.0,True,True
"Octagon Investment Partners XV, Ltd.",1,False,Prospect Capital Corporation,Unknown,,4,39.1,84.13,43.91,39096000.0,84128000.0,43912000.0,False,False
"Discover Financial Services, Subordinated Loan",1,False,FS KKR Capital Corp,Unknown,,2,38.9,0.0,38.9,38900000.0,0.0,38900000.0,False,False
Alera Group Intermediate Holdings Inc,1,False,FS KKR Capital Corp,Unknown,,2,38.9,39.0,38.9,38900000.0,39000000.0,38900000.0,False,False
Aareon AG,1,False,FS KKR Capital Corp,Unknown,,1,38.7,0.0,38.2,38700000.0,0.0,38200000.0,False,False
"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of data visualization software for data analytics,3,38.6,0.0,15.0,38600000.0,0.0,15000000.0,True,True
Trescal SA,1,False,FS KKR Capital Corp,Unknown,,6,38.6,10.3,38.4,38600000.0,10300000.0,38400000.0,False,False
"Mako Steel, LP",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Self-Storage Design & Construction,3,37.95,18.97,37.61,37946000.0,18973000.0,37614000.0,True,True
Constellis Holdings LLC,1,False,FS KKR Capital Corp,Unknown,,3,37.6,15.1,14.6,37600000.0,15100000.0,14600000.0,False,False
Industry City TI Lessor LP,1,False,FS KKR Capital Corp,Unknown,,2,37.5,0.0,36.5,37500000.0,0.0,36500000.0,False,False
"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",1,False,Ares Capital Corporation,Software/Technology,Aircraft performance software provider,3,37.4,13.1,45.8,37400000.0,13100000.0,45800000.0,True,True
"GreenSky Holdings LLC, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,2,37.2,31254662.0,31.3,37200000.0,31254662000000.0,31300000.0,False,False
Civica Group Ltd,1,False,FS KKR Capital Corp,Unknown,,5,36.9,8.6,36.4,36900000.0,8600000.0,36400000.0,False,False
"Analytical Systems Keco Holdings, LLC",1,False,Main Street Capital Corporation,Energy & Utilities,Manufacturer of Liquid and Gas Analyzers,10,36.8,8.22,40.26,36803000.0,8220000.0,40255000.0,True,True
"Nomi Health, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of software payment services for healthcare industry,4,36.4,18.2,36.4,36400000.0,18200000.0,36400000.0,True,True
"Galaxy XXVIII CLO, Ltd.",1,False,Prospect Capital Corporation,Unknown,,4,36.15,79.81,39.31,36154000.0,79810000.0,39314000.0,False,False
"W.S. Connelly & Co., LLC and WSC Ultimate Holdings, LLC",1,False,Ares Capital Corporation,Other,"Provider of agronomics products for landscapers, contractors and golf course end users",3,36.0,17.3,36.6,36000000.0,17300000.0,36600000.0,True,False
"AAC Holdings, Inc.",1,False,Main Street Capital Corporation,Other,Substance Abuse Treatment Service Provider,4,35.95,18.09,42.41,35948000.0,18086000.0,42406000.0,True,False
"Burning Glass Intermediate Holding Company, Inc.",1,False,Main Street Capital Corporation,Business Services,Provider of Skills-Based Labor Market Analytics,3,35.83,17.92,35.49,35830000.0,17915000.0,35488000.0,True,True
"H.M. Dunn Co., Inc., L+875",1,False,FS KKR Capital Corp,Unknown,,1,35.8,0.0,0.0,35800000.0,0.0,0.0,False,False
Borrower R365 Holdings LLC,1,False,Ares Capital Corporation,Software/Technology,Provider of restaurant enterprise resource planning systems,3,35.6,17.8,35.4,35600000.0,17800000.0,35400000.0,True,True
"Superman Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of ERP software for the construction industry,1,35.4,35.5,35.5,35400000.0,35500000.0,35500000.0,True,True
NBG Home,1,False,FS KKR Capital Corp,Unknown,,5,35.4,129.9,120.3,35400000.0,129900000.0,120300000.0,False,False
Service Express Inc,1,False,FS KKR Capital Corp,Unknown,,3,35.4,35.5,35.4,35400000.0,35500000.0,35400000.0,False,False
Rodeo AcquisitionCo LLC,1,False,Ares Capital Corporation,Food & Beverage,Provider of food inspection and recovery services,3,35.2,17.6,35.2,35200000.0,17600000.0,35200000.0,True,True
Higginbotham Insurance Agency Inc,1,False,FS KKR Capital Corp,Unknown,,4,35.2,35.4,35.0,35200000.0,35400000.0,35000000.0,False,False
"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",1,False,Ares Capital Corporation,Software/Technology,Healthcare software provider,3,35.0,15.7,34.8,35000000.0,15700000.0,34800000.0,True,True
"CP Energy - Spartan Energy Services, Inc.",1,False,Prospect Capital Corporation,Unknown,,1,34.66,0.0,8.52,34665000.0,0.0,8523000.0,False,False
"Global Jet Capital LLC, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,3,34.0,0.0,28.1,34000000.0,0.0,28100000.0,False,False
Rise Baking Company,1,False,FS KKR Capital Corp,Unknown,,2,33.6,33.6,33.0,33600000.0,33600000.0,33000000.0,False,False
"Datacom, LLC",1,False,Main Street Capital Corporation,Software/Technology,Technology and Telecommunications Provider,8,33.57,17.38,44.36,33568000.0,17379000.0,44360000.0,True,True
"ITA Holdings Group, LLC",1,False,Main Street Capital Corporation,Other,Air Ambulance Services,6,33.48,11.05,23.57,33480000.0,11050000.0,23570000.0,True,False
"Kings Buyer, LLC",1,False,Ares Capital Corporation,Other,Provider of comprehensive outsourced waste management consolidation services,3,33.4,16.7,33.4,33400000.0,16700000.0,33400000.0,True,False
"CIFC Funding 2013-III-R, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,33.21,44.1,37.86,33208000.0,44100000.0,37864000.0,False,False
"United Digestive MSO Parent, LLC and Koln Co-Invest Unblocked, LP",1,False,Ares Capital Corporation,Healthcare Services,Gastroenterology physician group,4,33.2,10.7,30.6,33200000.0,10700000.0,30600000.0,True,True
Excelitas Technologies Corp,1,False,FS KKR Capital Corp,Unknown,,7,33.2,29.8,33.2,33200000.0,29800000.0,33200000.0,False,False
